"hs_symbol","gene_id","SYMBOL","CpG","rank"
"TCF4","AMEX60DD041795","Tcf4","cg16698248",1341
"TRIP12","AMEX60DD002012","Trip12","cg19176697",1342
"TRIP12","AMEX60DD002013","Trip12.1","cg19176697",1342
"LRPPRC","AMEX60DD035957","Lrpprc","cg19327672",1343
"PRDM6","AMEX60DD042870","Prdm6","cg26485928",1344
"RBFOX1","AMEX60DD020250","Rbfox1","cg02788988",1347
"GPATCH2L","AMEX60DD011168","Gpatch2l","cg18804410",1348
"TEAD1","AMEX60DD017302","Tead1.1","cg14194584",1349
"TEAD1","AMEX60DD004832","Tead1","cg14194584",1349
"RGS9","AMEX60DD031173","Rgs9","cg23319205",1350
"AUTS2","AMEX60DD027966","Auts2","cg07866455",1351
"AUTS2","AMEX60DD054212","Auts2.1","cg07866455",1351
"AUTS2","AMEX60DD054215","Auts2.3","cg07866455",1351
"AUTS2","AMEX60DD054214","Auts2.2","cg07866455",1351
"EBF2","AMEX60DD002999","Ebf2","cg05217279",1353
"MECOM","AMEX60DD001756","Mecom","cg19788669",1354
"MACF1","AMEX60DD006142","Macf1","cg26947144",1355
"CASZ1","AMEX60DD051153","Casz1","cg09537576",1358
"CASZ1","AMEX60DD053420","Casz1.1","cg09537576",1358
"RASAL2","AMEX60DD018255","Rasal2","cg24957775",1359
"RASAL2","AMEX60DD031670","Rasal2.1","cg24957775",1359
"SUPT3H","AMEX60DD032918","Supt3h","cg01537460",1360
"ATP5F1A","AMEX60DD041683","Atp5f1a","cg03466012",1364
"MAPKAP1","AMEX60DD050518","Mapkap1","cg27371176",1367
"NRG1","AMEX60DD043761","Nrg1","cg19665414",1368
"EIF4G2","AMEX60DD045603","Eif4g2.1","cg11124915",1369
"EIF4G2","AMEX60DD004812","Eif4g2","cg11124915",1369
"PTBP2","AMEX60DD018769","Ptbp2","cg22589574",1370
"CLASP1","AMEX60DD056118","Clasp1","cg16745091",1371
"KCNA1","AMEX60DD006607","Kcna1","cg06385312",1372
"VRK1","AMEX60DD011400","Vrk1","cg06788975",1373
"CHSY3","AMEX60DD042938","Chsy3.1","cg24642372",1374
"CHSY3","AMEX60DD042937","Chsy3","cg24642372",1374
"MDGA1","AMEX60DD036390","Mdga1","cg23111024",1376
"FLOT2","AMEX60DD054834","Flot2","cg19814508",1377
"FLOT2","AMEX60DD054835","Flot2.1","cg19814508",1377
"RAPGEF2","AMEX60DD045172","Rapgef2","cg15634098",1379
"SATB1","AMEX60DD022782","Satb1","cg16807421",1381
"LIN52","AMEX60DD011477","Lin52","cg21498538",1383
"CNKSR2","AMEX60DD048492","Cnksr2.1","cg00300224",1384
"CNKSR2","AMEX60DD048493","Cnksr2.2","cg00300224",1384
"CNKSR2","AMEX60DD048489","Cnksr2","cg00300224",1384
"BCAS3","AMEX60DD054622","Bcas3","cg12262659",1393
"BCAS3","AMEX60DD054624","Bcas3.1","cg12262659",1393
"SIX2","AMEX60DD035940","Six2","cg03986120",1394
"LRMDA","AMEX60DD052208","Lrmda.2","cg16157644",1395
"LRMDA","AMEX60DD052207","Lrmda.1","cg16157644",1395
"LRMDA","AMEX60DD052205","Lrmda","cg16157644",1395
"FOXP1","AMEX60DD023939","Foxp1","cg25836410",1396
"DCDC1","AMEX60DD004913","Dcdc1","cg16670758",1398
"HTATIP2","AMEX60DD005003","Htatip2","cg10331358",1399
"SOX5","AMEX60DD006750","Sox5","cg15751632",1400
"SOX5","AMEX60DD006750","Sox5","cg26575318",1402
"AJAP1","AMEX60DD051419","Ajap1","cg01052352",1403
"IKZF2","AMEX60DD055399","Ikzf2","cg23976139",1404
"TBC1D5","AMEX60DD022787","Tbc1d5","cg02699795",1405
"MRPS23","AMEX60DD054095","Mrps23","cg26736720",1406
"EVX2","AMEX60DD010172","Evx2","cg02572224",1407
"EVX2","AMEX60DD055613","Evx2.1","cg02572224",1407
"SKOR1","AMEX60DD003411","Skor1","cg21607628",1408
"TLE1","AMEX60DD043286","Tle1.2","cg24557436",1409
"TLE1","AMEX60DD043278","Tle1.1","cg24557436",1409
"TLE1","AMEX60DD013779","Tle1","cg24557436",1409
"PBX1","AMEX60DD031588","Pbx1.1","cg15679520",1410
"PBX1","AMEX60DD018398","Pbx1","cg15679520",1410
"PBX1","AMEX60DD050515","Pbx1.3","cg15679520",1410
"PBX1","AMEX60DD050512","Pbx1.2","cg15679520",1410
"LMO1","AMEX60DD004749","Lmo1","cg24475906",1411
"RBM26","AMEX60DD048790","Rbm26","cg16947830",1412
"TSHZ2","AMEX60DD027389","Tshz2","cg18724036",1413
"KCNA3","AMEX60DD008703","Kcna3.1","cg03078535",1414
"KCNA3","AMEX60DD016324","Kcna3.2","cg03078535",1414
"KCNA3","AMEX60DD006606","Kcna3","cg03078535",1414
"FOXP2","AMEX60DD006292","Foxp2","cg24977387",1415
"ZFHX4","AMEX60DD039942","Zfhx4","cg27649360",1416
"AGAP1","AMEX60DD055479","Agap1.1","cg01399875",1417
"AGAP1","AMEX60DD055475","Agap1","cg01399875",1417
"PROX1","AMEX60DD025278","Prox1","cg03078414",1419
"PROX1","AMEX60DD036083","Prox1.1","cg03078414",1419
"STOX2","AMEX60DD045378","Stox2","cg03504115",1420
"SIM1","AMEX60DD034017","Sim1","cg04609744",1421
"MAPKAP1","AMEX60DD050518","Mapkap1","cg22158106",1423
"SPTBN1","AMEX60DD024979","Sptbn1","cg00533774",1424
"SPTBN1","AMEX60DD036506","Sptbn1.2","cg00533774",1424
"SPTBN1","AMEX60DD035674","Sptbn1.1","cg00533774",1424
"METTL3","AMEX60DD009445","Mettl3","cg01566077",1425
"FBXL4","AMEX60DD033855","Fbxl4","cg02791630",1426
"RBFOX1","AMEX60DD020250","Rbfox1","cg14946072",1428
"VRK2","AMEX60DD035418","Vrk2","cg05425369",1430
"ETV1","AMEX60DD022427","Etv1","cg13187690",1431
"LEF1","AMEX60DD044502","Lef1","cg10668448",1432
"TSHZ3","AMEX60DD016709","Tshz3","cg25048251",1433
"ZNF521","AMEX60DD039549","Znf521","cg15783852",1434
"ZBTB16","AMEX60DD053674","Zbtb16","cg17513136",1435
"ZNF521","AMEX60DD039549","Znf521","cg20345626",1436
"ZFHX3","AMEX60DD016992","Zfhx3","cg15023125",1437
"UNCX","AMEX60DD021249","Uncx","cg16547543",1438
"QKI","AMEX60DD034890","Qki","cg22149755",1439
"HOXA7","HoxA7","Hoxa7","cg07302069",1440
"BCL11A","AMEX60DD035398","Bcl11a.1","cg13948651",1441
"BCL11A","AMEX60DD024771","Bcl11a","cg13948651",1441
"FMNL2","AMEX60DD055848","Fmnl2","cg12932612",1442
"ZFHX4","AMEX60DD039942","Zfhx4","cg26626645",1443
"PBX1","AMEX60DD031588","Pbx1.1","cg24043916",1444
"PBX1","AMEX60DD018398","Pbx1","cg24043916",1444
"PBX1","AMEX60DD050515","Pbx1.3","cg24043916",1444
"PBX1","AMEX60DD050512","Pbx1.2","cg24043916",1444
"MKLN1","AMEX60DD048596","Mkln1.2","cg09596855",1445
"MKLN1","AMEX60DD008080","Mkln1","cg09596855",1445
"MKLN1","AMEX60DD008081","Mkln1.1","cg09596855",1445
"METAP1D","AMEX60DD055668","Metap1d","cg02993437",1449
"VSX2","AMEX60DD011474","Vsx2","cg23225221",1450
"UNCX","AMEX60DD021249","Uncx","cg06404927",1451
"UNC5C","AMEX60DD044041","Unc5c","cg25831669",1452
"SETBP1","AMEX60DD041668","Setbp1","cg12407846",1453
"SMO","AMEX60DD008017","Smo","cg07904962",1454
"GPD2","AMEX60DD055827","Gpd2","cg18508649",1456
"CHIC2","AMEX60DD045545","Chic2","cg12487068",1457
"SATB1","AMEX60DD022782","Satb1","cg13082148",1459
"SMURF2","AMEX60DD031106","Smurf2","cg20177885",1460
"NRG1","AMEX60DD043761","Nrg1","cg02416191",1463
"C1QL3","AMEX60DD022116","C1ql3","cg20152954",1464
"FOXP4","AMEX60DD009181","Foxp4","cg25238025",1466
"MECOM","AMEX60DD001756","Mecom","cg23626248",1467
"UTP11","AMEX60DD005832","Utp11","cg16317038",1468
"LRMDA","AMEX60DD052208","Lrmda.2","cg11470772",1469
"LRMDA","AMEX60DD052207","Lrmda.1","cg11470772",1469
"LRMDA","AMEX60DD052205","Lrmda","cg11470772",1469
"YPEL5","AMEX60DD036218","Ypel5","cg09670972",1470
"DACH1","AMEX60DD048850","Dach1","cg03373557",1471
"ZNF521","AMEX60DD039549","Znf521","cg01602213",1472
"PTPRD","AMEX60DD043348","Ptprd","cg19002453",1473
"PHF21A","AMEX60DD005256","Phf21a","cg21390528",1474
"BTRC","AMEX60DD052902","Btrc","cg02268652",1475
"BTRC","AMEX60DD052906","Btrc.1","cg02268652",1475
"VRK1","AMEX60DD011400","Vrk1","cg22864641",1476
"ZFHX4","AMEX60DD039942","Zfhx4","cg06222547",1477
"MID1","AMEX60DD048580","Mid1","cg16218119",1478
"TEAD1","AMEX60DD017302","Tead1.1","cg08749684",1480
"TEAD1","AMEX60DD004832","Tead1","cg08749684",1480
"TMEM170B","AMEX60DD038906","Tmem170b","cg13160963",1481
"MEIS1","AMEX60DD035598","Meis1.1","cg16076776",1482
"MEIS1","AMEX60DD024424","Meis1","cg16076776",1482
"CASZ1","AMEX60DD051153","Casz1","cg13475927",1483
"CASZ1","AMEX60DD053420","Casz1.1","cg13475927",1483
"AP4S1","AMEX60DD012193","Ap4s1","cg06771612",1484
"FIGN","AMEX60DD029644","Fign","cg17214349",1485
"FIGN","AMEX60DD055759","Fign.1","cg17214349",1485
"PAX2","AMEX60DD051628","Pax2","cg26845017",1486
"PPP2R5B","AMEX60DD025265","Ppp2r5b","cg03375386",1487
"ZNF536","AMEX60DD016701","Znf536.2","cg04837182",1488
"ZNF536","AMEX60DD016699","Znf536.1","cg04837182",1488
"ZNF536","AMEX60DD008513","Znf536","cg04837182",1488
"SCUBE1","AMEX60DD006431","Scube1.1","cg12099383",1489
"SCUBE1","AMEX60DD006435","Scube1.2","cg12099383",1489
"SCUBE1","AMEX60DD003135","Scube1","cg12099383",1489
"PTPRA","AMEX60DD046196","Ptpra","cg27109335",1491
"DENND1B","AMEX60DD032114","Dennd1b","cg04996684",1492
"NFAT5","AMEX60DD017014","Nfat5","cg22351690",1493
"AP3B1","AMEX60DD042316","Ap3b1","cg09689442",1494
"TNPO1","AMEX60DD042436","Tnpo1","cg18562542",1495
"TNPO1","AMEX60DD042439","Tnpo1.1","cg18562542",1495
"NDP","AMEX60DD047596","Ndp","cg20415069",1496
"ZNF827","AMEX60DD044992","Znf827","cg10543626",1499
"WWOX","AMEX60DD032382","Wwox.1","cg02808705",1500
"WWOX","AMEX60DD032381","Wwox","cg02808705",1500
"ZBTB7B","AMEX60DD014889","Zbtb7b","cg23238433",1501
"SOX6","AMEX60DD004724","Sox6","cg18680222",1503
"PURA","AMEX60DD029051","Pura","cg19835617",1505
"ZEB2","AMEX60DD029760","Zeb2","cg04709860",1506
"ZEB2","AMEX60DD055909","Zeb2.1","cg04709860",1506
"FEZF1","AMEX60DD007417","Fezf1","cg25768681",1507
"CACNA1C","AMEX60DD006922","Cacna1c","cg09216664",1510
"CACNA1C","AMEX60DD006923","Cacna1c.1","cg09216664",1510
"CACNA1C","AMEX60DD006925","Cacna1c.2","cg09216664",1510
"TFAP2A","AMEX60DD038319","Tfap2a","cg22776742",1511
"MBNL2","AMEX60DD048632","Mbnl2","cg10257214",1512
"ZNF536","AMEX60DD016701","Znf536.2","cg05991704",1513
"ZNF536","AMEX60DD016699","Znf536.1","cg05991704",1513
"ZNF536","AMEX60DD008513","Znf536","cg05991704",1513
"TSHZ2","AMEX60DD027389","Tshz2","cg17803853",1515
"TSHZ1","AMEX60DD039220","Tshz1","cg20318739",1516
"CELF4","AMEX60DD003871","Celf4","cg09049858",1518
"CELF4","AMEX60DD041624","Celf4.1","cg09049858",1518
"CELF4","AMEX60DD041626","Celf4.2","cg09049858",1518
"MAP4K4","AMEX60DD037294","Map4k4","cg19880080",1519
"MAP4K4","AMEX60DD047861","Map4k4.2","cg19880080",1519
"MAP4K4","AMEX60DD047860","Map4k4.1","cg19880080",1519
"MAP4K4","AMEX60DD047862","Map4k4.3","cg19880080",1519
"HOXD10","HoxD10","Hoxd10","cg23194298",1520
"DLX1","AMEX60DD055670","Dlx1","cg00587168",1521
"PTPRD","AMEX60DD043348","Ptprd","cg19261941",1522
"RBFOX1","AMEX60DD020250","Rbfox1","cg23266553",1523
"SCML4","AMEX60DD034066","Scml4","cg27659622",1524
"SCML4","AMEX60DD034068","Scml4.1","cg27659622",1524
"CDCA2","AMEX60DD002995","Cdca2","cg15439774",1525
"ACACA","AMEX60DD054117","Acaca.1","cg01548368",1526
"ACACA","AMEX60DD054118","Acaca.2","cg01548368",1526
"ACACA","AMEX60DD054114","Acaca","cg01548368",1526
"SDCCAG8","AMEX60DD035270","Sdccag8","cg23178698",1527
"SDCCAG8","AMEX60DD035273","Sdccag8.1","cg23178698",1527
"PCDH19","AMEX60DD037682","Pcdh19","cg08796800",1528
"NCK1","AMEX60DD002385","Nck1","cg20960038",1529
"BNC2","AMEX60DD043399","Bnc2","cg26753700",1530
"UNC79","AMEX60DD011217","Unc79","cg11563254",1531
"CAMKMT","AMEX60DD035946","Camkmt","cg08776208",1532
"RBFOX1","AMEX60DD020250","Rbfox1","cg11647274",1533
"FTO","AMEX60DD017737","Fto.1","cg17161441",1534
"FTO","AMEX60DD017735","Fto","cg17161441",1534
"FGF8","AMEX60DD052891","Fgf8","cg13388302",1535
"DACH1","AMEX60DD048850","Dach1","cg10190905",1538
"CREM","AMEX60DD021752","Crem.1","cg19891210",1539
"CREM","AMEX60DD021748","Crem","cg19891210",1539
"KDM3B","AMEX60DD027927","Kdm3b","cg22411965",1540
"EBF2","AMEX60DD002999","Ebf2","cg24357055",1542
"LRBA","AMEX60DD045036","Lrba","cg09024503",1543
"HECTD1","AMEX60DD012203","Hectd1.1","cg23133047",1544
"HECTD1","AMEX60DD012196","Hectd1","cg23133047",1544
"CAMK2B","AMEX60DD001307","Camk2b","cg16676647",1545
"UNCX","AMEX60DD021249","Uncx","cg07116727",1547
"NPNT","AMEX60DD044651","Npnt","cg14121771",1548
"BARHL2","AMEX60DD052670","Barhl2.1","cg20145008",1550
"BARHL2","AMEX60DD019109","Barhl2","cg20145008",1550
"FOXA1","AMEX60DD012261","Foxa1","cg03772350",1551
"TFAP2D","AMEX60DD032878","Tfap2d","cg11200278",1554
"FMNL2","AMEX60DD055848","Fmnl2","cg07291847",1555
"FOXP2","AMEX60DD006292","Foxp2","cg09216777",1556
"PBX3","AMEX60DD050513","Pbx3.1","cg03315583",1557
"PBX3","AMEX60DD050511","Pbx3","cg03315583",1557
"MRPS9","AMEX60DD048051","Mrps9","cg20888163",1560
"EXT1","AMEX60DD040379","Ext1.3","cg13802770",1561
"EXT1","AMEX60DD032576","Ext1","cg13802770",1561
"EXT1","AMEX60DD032577","Ext1.1","cg13802770",1561
"EXT1","AMEX60DD032581","Ext1.2","cg13802770",1561
"ZBTB44","AMEX60DD015291","Zbtb44","cg06786029",1562
"ZBTB44","AMEX60DD053562","Zbtb44.2","cg06786029",1562
"ZBTB44","AMEX60DD053566","Zbtb44.3","cg06786029",1562
"ZBTB44","AMEX60DD015299","Zbtb44.1","cg06786029",1562
"FAM120A","AMEX60DD023685","Fam120a","cg12999303",1563
"NRXN3","AMEX60DD011291","Nrxn3","cg16420308",1565
"SPRED1","AMEX60DD012140","Spred1","cg23164054",1566
"XKR6","AMEX60DD032812","Xkr6","cg03504911",1567
"DACH1","AMEX60DD048850","Dach1","cg17939749",1568
"UNCX","AMEX60DD021249","Uncx","cg10903496",1569
"ZNF407","AMEX60DD039213","Znf407","cg08880309",1570
"ZNF521","AMEX60DD039549","Znf521","cg12461019",1572
"IQSEC2","AMEX60DD025449","Iqsec2","cg19214235",1573
"IQSEC2","AMEX60DD025451","Iqsec2.1","cg19214235",1573
"GPATCH2","AMEX60DD036112","Gpatch2","cg24460327",1574
"GPATCH2","AMEX60DD036113","Gpatch2.1","cg24460327",1574
"HOXA11","HoxA11","Hoxa11","cg00608008",1575
"SATB1","AMEX60DD022782","Satb1","cg19960246",1577
"ZNF131","AMEX60DD041997","Znf131","cg27146044",1581
"ZDHHC14","AMEX60DD034953","Zdhhc14","cg03967706",1584
"ZDHHC14","AMEX60DD034954","Zdhhc14.1","cg03967706",1584
"FAM91A1","AMEX60DD040446","Fam91a1","cg02634400",1585
"PLP1","AMEX60DD037780","Plp1","cg02482206",1586
"PHC2","AMEX60DD052044","Phc2","cg22807090",1588
"ZFHX4","AMEX60DD039942","Zfhx4","cg03137308",1590
"NOL4","AMEX60DD039647","Nol4.4","cg21949818",1591
"NOL4","AMEX60DD039645","Nol4.3","cg21949818",1591
"NOL4","AMEX60DD004157","Nol4","cg21949818",1591
"NOL4","AMEX60DD007813","Nol4.2","cg21949818",1591
"NOL4","AMEX60DD004433","Nol4.1","cg21949818",1591
"FOXP2","AMEX60DD006292","Foxp2","cg26368124",1593
"RUNX2","AMEX60DD032921","Runx2","cg07290414",1594
"RUNX2","AMEX60DD032922","Runx2.1","cg07290414",1594
"ZNF521","AMEX60DD039549","Znf521","cg00057767",1595
"IL20RB","AMEX60DD002383","Il20rb","cg05260361",1596
"HPCAL1","AMEX60DD006110","Hpcal1","cg11416350",1597
"PPP4R3A","AMEX60DD011693","Ppp4r3a","cg27556260",1599
"LRP4","AMEX60DD005288","Lrp4","cg04958799",1600
"ZNF407","AMEX60DD039213","Znf407","cg17936504",1601
"KCNB1","AMEX60DD027563","Kcnb1.2","cg14736210",1602
"KCNB1","AMEX60DD027561","Kcnb1.1","cg14736210",1602
"KCNB1","AMEX60DD027560","Kcnb1","cg14736210",1602
"ZNF521","AMEX60DD039549","Znf521","cg23525713",1603
"FIGN","AMEX60DD029644","Fign","cg22531336",1604
"FIGN","AMEX60DD055759","Fign.1","cg22531336",1604
"RBM26","AMEX60DD048790","Rbm26","cg14365239",1605
"ZNF827","AMEX60DD044992","Znf827","cg11085831",1606
"BCAS3","AMEX60DD054622","Bcas3","cg04040316",1607
"BCAS3","AMEX60DD054624","Bcas3.1","cg04040316",1607
"NKX1-1","AMEX60DD046067","Nkx1-1","cg05879189",1609
"LMO4","AMEX60DD019060","Lmo4","cg08700971",1610
"LMO4","AMEX60DD051000","Lmo4.1","cg08700971",1610
"ZFPM2","AMEX60DD040273","Zfpm2","cg23486454",1611
"ZFPM2","AMEX60DD040274","Zfpm2.1","cg23486454",1611
"FMNL2","AMEX60DD055848","Fmnl2","cg23091488",1612
"HTATIP2","AMEX60DD005003","Htatip2","cg05111000",1613
"CHD4","AMEX60DD026866","Chd4","cg02298641",1614
"SCN8A","AMEX60DD029649","Scn8a","cg25636273",1615
"TLE1","AMEX60DD043286","Tle1.2","cg15962733",1616
"TLE1","AMEX60DD043278","Tle1.1","cg15962733",1616
"TLE1","AMEX60DD013779","Tle1","cg15962733",1616
"CDK8","AMEX60DD049307","Cdk8","cg07459029",1617
"UNCX","AMEX60DD021249","Uncx","cg14464509",1618
"SMG6","AMEX60DD054899","Smg6","cg09606114",1620
"SMG6","AMEX60DD054901","Smg6.1","cg09606114",1620
"SMG6","AMEX60DD054903","Smg6.2","cg09606114",1620
"ERI3","AMEX60DD019855","Eri3","cg05817746",1621
"ZNF536","AMEX60DD016701","Znf536.2","cg20677320",1622
"ZNF536","AMEX60DD016699","Znf536.1","cg20677320",1622
"ZNF536","AMEX60DD008513","Znf536","cg20677320",1622
"HDAC9","AMEX60DD022301","Hdac9","cg08153906",1623
"ZFHX3","AMEX60DD016992","Zfhx3","cg16218569",1624
"POU2F1","AMEX60DD047046","Pou2f1","cg08267336",1625
"MAN2A2","AMEX60DD003347","Man2a2","cg00891226",1627
"NOVA1","AMEX60DD012170","Nova1","cg14403641",1628
"NOVA1","AMEX60DD024841","Nova1.1","cg14403641",1628
"TRPS1","AMEX60DD040351","Trps1","cg15680017",1629
"FOXP2","AMEX60DD006292","Foxp2","cg25011187",1631
"CLTC","AMEX60DD000254","Cltc","cg12482375",1632
"CLTC","AMEX60DD054658","Cltc.2","cg12482375",1632
"CLTC","AMEX60DD003482","Cltc.1","cg12482375",1632
"ZEB2","AMEX60DD029760","Zeb2","cg14807945",1634
"ZEB2","AMEX60DD055909","Zeb2.1","cg14807945",1634
"STXBP5L","AMEX60DD046929","Stxbp5l","cg14812813",1636
"STXBP5L","AMEX60DD046930","Stxbp5l.1","cg14812813",1636
"STXBP5L","AMEX60DD046931","Stxbp5l.2","cg14812813",1636
"TCF12","AMEX60DD003650","Tcf12","cg03237342",1637
"RANBP17","AMEX60DD030418","Ranbp17.1","cg17109710",1638
"RANBP17","AMEX60DD030416","Ranbp17","cg17109710",1638
"RANBP17","AMEX60DD030420","Ranbp17.2","cg17109710",1638
"TRPM7","AMEX60DD003609","Trpm7.2","cg08768607",1639
"TRPM7","AMEX60DD003606","Trpm7","cg08768607",1639
"TRPM7","AMEX60DD003607","Trpm7.1","cg08768607",1639
"TRPM7","AMEX60DD003610","Trpm7.3","cg08768607",1639
"FGF13","AMEX60DD037407","Fgf13","cg19270384",1640
"CLCN6","AMEX60DD051101","Clcn6.1","cg01725297",1641
"CLCN6","AMEX60DD039664","Clcn6","cg01725297",1641
"DHX15","AMEX60DD045767","Dhx15","cg01655447",1643
"FIGN","AMEX60DD029644","Fign","cg22938044",1644
"FIGN","AMEX60DD055759","Fign.1","cg22938044",1644
"ARHGAP44","AMEX60DD030659","Arhgap44","cg06562912",1645
"ARHGAP44","AMEX60DD030663","Arhgap44.1","cg06562912",1645
"GUCY2D","AMEX60DD013113","Gucy2d","cg16670915",1647
"GUCY2D","AMEX60DD013114","Gucy2d.1","cg16670915",1647
"GUCY2D","AMEX60DD049734","Gucy2d.2","cg16670915",1647
"CDK14","AMEX60DD022202","Cdk14","cg10562683",1648
"ZFHX3","AMEX60DD016992","Zfhx3","cg17876210",1649
"EWSR1","AMEX60DD001000","Ewsr1","cg23633223",1650
"UBE2K","AMEX60DD045656","Ube2k","cg05661289",1651
"SREK1","AMEX60DD042257","Srek1","cg05371975",1652
"ROCK1","AMEX60DD039469","Rock1","cg11730244",1654
"ROCK1","AMEX60DD039470","Rock1.1","cg11730244",1654
"SLIT1","AMEX60DD052864","Slit1","cg19247998",1656
"NPSR1","AMEX60DD038035","Npsr1.2","cg26100255",1657
"NPSR1","AMEX60DD038034","Npsr1.1","cg26100255",1657
"NPSR1","AMEX60DD038033","Npsr1","cg26100255",1657
"NAA30","AMEX60DD011126","Naa30","cg26285771",1658
"PTBP3","AMEX60DD044153","Ptbp3","cg03883593",1660
"RANBP17","AMEX60DD030418","Ranbp17.1","cg14505098",1661
"RANBP17","AMEX60DD030416","Ranbp17","cg14505098",1661
"RANBP17","AMEX60DD030420","Ranbp17.2","cg14505098",1661
"HOXD3","AMEX60DD029486","Hoxd3","cg05496616",1662
"WNT11","AMEX60DD036922","Wnt11","cg25563382",1663
"WNT11","AMEX60DD049747","Wnt11.1","cg25563382",1663
"DLX1","AMEX60DD055670","Dlx1","cg19317509",1664
"ESRRG","AMEX60DD025330","Esrrg","cg02744008",1665
"ESRRG","AMEX60DD036107","Esrrg.1","cg02744008",1665
"ZEB2","AMEX60DD029760","Zeb2","cg04305771",1666
"ZEB2","AMEX60DD055909","Zeb2.1","cg04305771",1666
"CLPB","AMEX60DD049862","Clpb","cg13694139",1667
"CLPB","AMEX60DD049863","Clpb.1","cg13694139",1667
"MRM1","AMEX60DD054128","Mrm1","cg20867091",1668
"PBX3","AMEX60DD050513","Pbx3.1","cg23495507",1669
"PBX3","AMEX60DD050511","Pbx3","cg23495507",1669
"PSMD14","AMEX60DD055782","Psmd14","cg23174567",1670
"EBF3","AMEX60DD046404","Ebf3","cg25074583",1671
"EBF3","AMEX60DD052723","Ebf3.1","cg25074583",1671
"DACH1","AMEX60DD048850","Dach1","cg08159677",1672
"MAPKAP1","AMEX60DD050518","Mapkap1","cg08071891",1673
"PAXBP1","AMEX60DD047311","Paxbp1","cg04396213",1674
"SLC8A3","AMEX60DD024420","Slc8a3.2","cg19367422",1675
"SLC8A3","AMEX60DD011892","Slc8a3","cg19367422",1675
"SLC8A3","AMEX60DD011893","Slc8a3.1","cg19367422",1675
"GPR26","AMEX60DD053354","Gpr26.1","cg21514135",1676
"GPR26","AMEX60DD045964","Gpr26","cg21514135",1676
"CAPZA1","AMEX60DD003463","Capza1","cg16609170",1677
"CAPZA1","AMEX60DD008912","Capza1.1","cg16609170",1677
"TFAP2D","AMEX60DD032878","Tfap2d","cg06019378",1678
"ELAVL4","AMEX60DD019659","Elavl4","cg04584281",1680
"ESRRG","AMEX60DD025330","Esrrg","cg26917738",1681
"ESRRG","AMEX60DD036107","Esrrg.1","cg26917738",1681
"HHEX","AMEX60DD052633","Hhex","cg11266260",1682
"TCF7L2","AMEX60DD053152","Tcf7l2","cg18460092",1683
"SMTN","AMEX60DD000909","Smtn","cg24357559",1685
"SMTN","AMEX60DD007359","Smtn.1","cg24357559",1685
"DACH1","AMEX60DD048850","Dach1","cg02791995",1686
"ACTN1","AMEX60DD012100","Actn1","cg18406453",1687
"PSMB7","AMEX60DD010473","Psmb7","cg02645656",1688
"PSMB7","AMEX60DD024735","Psmb7.1","cg02645656",1688
"PSMB7","AMEX60DD050552","Psmb7.2","cg02645656",1688
"ZNF521","AMEX60DD039549","Znf521","cg04068658",1690
"OTP","AMEX60DD042321","Otp.1","cg05317739",1693
"OTP","AMEX60DD042320","Otp","cg05317739",1693
"PTPRD","AMEX60DD043348","Ptprd","cg27353147",1695
"ZEB2","AMEX60DD029760","Zeb2","cg20352525",1696
"ZEB2","AMEX60DD055909","Zeb2.1","cg20352525",1696
"CNOT1","AMEX60DD015516","Cnot1.1","cg19362725",1697
"CNOT1","AMEX60DD015513","Cnot1","cg19362725",1697
"GNB2","AMEX60DD012809","Gnb2","cg22037288",1698
"TBCA","AMEX60DD042319","Tbca","cg18288070",1700
"HIF1AN","AMEX60DD051631","Hif1an","cg00780852",1701
"STXBP5L","AMEX60DD046929","Stxbp5l","cg18224177",1702
"STXBP5L","AMEX60DD046930","Stxbp5l.1","cg18224177",1702
"STXBP5L","AMEX60DD046931","Stxbp5l.2","cg18224177",1702
"GSX1","AMEX60DD049288","Gsx1","cg21479851",1703
"GTDC1","AMEX60DD031782","Gtdc1","cg14420219",1704
"SCML4","AMEX60DD034066","Scml4","cg05603896",1708
"SCML4","AMEX60DD034068","Scml4.1","cg05603896",1708
"MAP4K4","AMEX60DD037294","Map4k4","cg17752622",1709
"MAP4K4","AMEX60DD047861","Map4k4.2","cg17752622",1709
"MAP4K4","AMEX60DD047860","Map4k4.1","cg17752622",1709
"MAP4K4","AMEX60DD047862","Map4k4.3","cg17752622",1709
"WDR33","AMEX60DD002714","Wdr33","cg24269597",1711
"ZNF536","AMEX60DD016701","Znf536.2","cg09192464",1712
"ZNF536","AMEX60DD016699","Znf536.1","cg09192464",1712
"ZNF536","AMEX60DD008513","Znf536","cg09192464",1712
"PBX3","AMEX60DD050513","Pbx3.1","cg26717518",1713
"PBX3","AMEX60DD050511","Pbx3","cg26717518",1713
"CALCOCO1","AMEX60DD029523","Calcoco1","cg00017737",1714
"GDAP1","AMEX60DD039929","Gdap1","cg20546778",1715
"FIGN","AMEX60DD029644","Fign","cg01879724",1717
"FIGN","AMEX60DD055759","Fign.1","cg01879724",1717
"LDB3","AMEX60DD051961","Ldb3","cg23754860",1718
"NIPBL","AMEX60DD041916","Nipbl","cg24611541",1719
"NIPBL","AMEX60DD041917","Nipbl.1","cg24611541",1719
"ITPR3","AMEX60DD008732","Itpr3","cg06700189",1720
"TAOK1","AMEX60DD054817","Taok1","cg12906630",1722
